born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
	Literature	France	1905-06-21	1980-04-15	male	http://en.wikipedia.org/wiki/Jean-Paul_Sartre	Jean-Paul Sartre	Paris, France	Paris, France	Jean-Paul Sartre , (declined the prize), Literature, 1964	1964	59
	Physiology or Medicine	France	1902-05-08	1994-09-30	male	http://en.wikipedia.org/wiki/Andr%C3%A9_Michel_Lwoff	André Lwoff	Ainay-le-Château	Paris, France	André Lwoff , Physiology or Medicine, 1965	1965	63
	Physiology or Medicine	France	1910-02-09	1976-05-31	male	http://en.wikipedia.org/wiki/Jacques_Monod	Jacques Monod	Paris, France	Cannes, France	Jacques Monod , Physiology or Medicine, 1965	1965	55
	Physiology or Medicine	France	1920-06-17	2013-04-19	male	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Jacob	François Jacob	Nancy, Meurthe-et-Moselle	Paris , France	François Jacob , Physiology or Medicine, 1965	1965	45
	Physics	France	1902-05-03	1984-01-07	male	http://en.wikipedia.org/wiki/Alfred_Kastler	Alfred Kastler	Guebwiller	Bandol ,  France	Alfred Kastler , Physics, 1966	1966	64
	Peace	France	1887-10-05	1976-02-20	male	http://en.wikipedia.org/wiki/Ren%C3%A9_Cassin	René Cassin			René Cassin , Peace, 1968	1968	81
	Chemistry	Germany	1918-11-10	2007-07-23	male	http://en.wikipedia.org/wiki/Ernst_Otto_Fischer	Ernst Otto Fischer	Solln, since 1938 part of Munich,  German Empire	Munich,  Germany	Ernst Otto Fischer , Chemistry, 1973	1973	55
	Chemistry	Germany	1897-06-16	1987-08-26	male	http://en.wikipedia.org/wiki/Georg_Wittig	Georg Wittig	Berlin, Germany	Heidelberg ,  West Germany	Georg Wittig , Chemistry, 1979	1979	82
Germany	Physiology or Medicine	Germany	1946-04-17	1995-03-01	male	http://en.wikipedia.org/wiki/Georges_J.F._K%C3%B6hler	Georges J.F. Köhler	Munich	Freiburg im Breisgau	Georges J.F. Köhler *, Physiology or Medicine, 1984	1984	38
	Physics	Germany	1943-06-28		male	http://en.wikipedia.org/wiki/Klaus_von_Klitzing	Klaus von Klitzing	Schroda (Posen)		Klaus von Klitzing , Physics, 1985	1985	42
	Physics	Germany	1947-07-20		male	http://en.wikipedia.org/wiki/Gerd_Binnig	Gerd Binnig	Frankfurt am Main		Gerd Binnig , Physics, 1986	1986	39
	Physics	Germany	1906-12-25	1988-05-27	male	http://en.wikipedia.org/wiki/Ernst_Ruska	Ernst Ruska	Heidelberg ,  Germany	West Berlin ,  Germany	Ernst Ruska , Physics, 1986	1986	80
	Physics	Germany	1950-05-16		male	http://en.wikipedia.org/wiki/J._Georg_Bednorz	J. Georg Bednorz	Neuenkirchen ,  North Rhine-Westphalia ,  Germany		J. Georg Bednorz , Physics, 1987	1987	37
	Chemistry	Germany	1948-07-18		male	http://en.wikipedia.org/wiki/Hartmut_Michel	Hartmut Michel	Ludwigsburg		Hartmut Michel , Chemistry, 1988	1988	40
	Chemistry	Germany	1937-02-20		male	http://en.wikipedia.org/wiki/Robert_Huber	Robert Huber	Munich		Robert Huber , Chemistry, 1988	1988	51
	Chemistry	Germany	1943-09-30		male	http://en.wikipedia.org/wiki/Johann_Deisenhofer	Johann Deisenhofer	Zusamaltheim , Bavaria,  Germany		Johann Deisenhofer , Chemistry, 1988	1988	45
	Physics	Germany	1913-08-10	1993-12-07	male	http://en.wikipedia.org/wiki/Wolfgang_Paul	Wolfgang Paul	Lorenzkirch ,  Saxony ,  Germany	Bonn ,  North Rhine-Westphalia ,  Germany	Wolfgang Paul , Physics, 1989	1989	76
	Physiology or Medicine	Germany	1944-03-20		male	http://en.wikipedia.org/wiki/Erwin_Neher	Erwin Neher	Landsberg am Lech ,  Bavaria ,  Germany		Erwin Neher , Physiology or Medicine, 1991	1991	47
	Literature	Greece	1911-11-02	1996-03-18	male	http://en.wikipedia.org/wiki/Odysseas_Elytis	Odysseas Elytis	Heraklion ,  Crete ,  Greece	Athens , Greece	Odysseas Elytis , Literature, 1979	1979	68
	Peace	Ghana	1938-04-08		male	http://en.wikipedia.org/wiki/Kofi_Annan	Kofi Annan	Kumasi , Ghana		Kofi Annan , Peace, 2001	2001	63
	Physics	Germany	1845-03-27	1923-02-10	male	http://en.wikipedia.org/wiki/Wilhelm_Conrad_R%C3%B6ntgen	Wilhelm Conrad Röntgen	Lennep ,  Prussia	Munich ,  Germany	Wilhelm Conrad Röntgen , Physics, 1901	1901	56
	Physiology or Medicine	Germany	1854-03-15	1917-03-31	male	http://en.wikipedia.org/wiki/Emil_Adolf_von_Behring	Emil Adolf von Behring	Hansdorf	Marburg ,  Hesse-Nassau	Emil Adolf von Behring , Physiology or Medicine, 1901	1901	47
	Literature	Germany	1817-11-30	1903-11-01	male	http://en.wikipedia.org/wiki/Theodor_Mommsen	Theodor Mommsen	Garding ,  Schleswig	Charlottenburg ,  German Empire	Theodor Mommsen ,  born in then Denmark , Literature, 1902	1902	85
	Chemistry	Germany	1852-10-09	1919-07-15	male	http://en.wikipedia.org/wiki/Hermann_Emil_Fischer	Hermann Emil Fischer	Euskirchen , Germany	Berlin, Germany	Hermann Emil Fischer , Chemistry, 1902	1902	50
	Chemistry	Germany	1835-10-31	1917-08-20	male	http://en.wikipedia.org/wiki/Adolf_von_Baeyer	Adolf von Baeyer	Berlin ,  Germany	Starnberg ,  Germany	Adolf von Baeyer , Chemistry, 1905	1905	70
	Physiology or Medicine	Germany	1843-12-11	1910-05-27	male	http://en.wikipedia.org/wiki/Robert_Koch	Robert Koch	Clausthal , Prussia	Baden-Baden , German Empire	Robert Koch , Physiology or Medicine, 1905	1905	62
	Chemistry	Germany	1860-05-20	1917-08-13	male	http://en.wikipedia.org/wiki/Eduard_Buchner	Eduard Buchner	Munich ,  Germany	Munich ,  Germany	Eduard Buchner , Chemistry, 1907	1907	47
	Physiology or Medicine	Germany	1854-03-14	1915-08-20	male	http://en.wikipedia.org/wiki/Paul_Ehrlich	Paul Ehrlich	Strehlen ,  Lower Silesia ,  German Kingdom of Prussia	Bad Homburg ,  Hesse , Germany	Paul Ehrlich , Physiology or Medicine, 1908	1908	54
	Literature	Germany	1846-01-05	1926-09-15	male	http://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken	Rudolf Christoph Eucken	Aurich ,  Kingdom of Hanover	Jena ,  Thuringia ,  Germany	Rudolf Christoph Eucken , Literature, 1908	1908	62
