born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
	Physiology or Medicine	United States	1916-08-25	2003-08-04	male	http://en.wikipedia.org/wiki/Frederick_C._Robbins	Frederick C. Robbins	Auburn, Alabama	Cleveland ,  Ohio	Frederick C. Robbins , Physiology or Medicine, 1954	1954	38
	Physiology or Medicine	United States	1897-02-10	1985-09-08	male	http://en.wikipedia.org/wiki/John_F._Enders	John F. Enders	West Hartford, Connecticut	Waterford, Connecticut	John F. Enders , Physiology or Medicine, 1954	1954	57
	Literature	United States	1899-07-21	1961-07-02	male	http://en.wikipedia.org/wiki/Ernest_Hemingway	Ernest Hemingway	Oak Park, Illinois	Ketchum, Idaho	Ernest Hemingway , Literature, 1954	1954	55
	Chemistry	United States	1901-02-28	1994-08-19	male	http://en.wikipedia.org/wiki/Linus_Pauling	Linus C. Pauling	Portland, Oregon	Big Sur, California	Linus C. Pauling , Chemistry, 1954	1954	53
	Physics	United States	1911-01-26	1993-03-20	male	http://en.wikipedia.org/wiki/Polykarp_Kusch	Polykarp Kusch	Blankenburg ,  Germany	Dallas ,  Texas ,  USA	Polykarp Kusch ,  born in Germany , Physics, 1955	1955	44
	Physics	United States	1913-07-12	2008-05-15	male	http://en.wikipedia.org/wiki/Willis_E._Lamb	Willis E. Lamb	Los Angeles, California ,  U.S.	Tucson ,  Arizona ,  U.S.	Willis E. Lamb , Physics, 1955	1955	42
	Chemistry	United States	1901-05-18	1978-12-11	male	http://en.wikipedia.org/wiki/Vincent_du_Vigneaud	Vincent du Vigneaud	Chicago, Illinois , USA	Ithaca, New York , USA	Vincent du Vigneaud , Chemistry, 1955	1955	54
	Physiology or Medicine	United States	1895-09-24	1988-02-19	male	http://en.wikipedia.org/wiki/Andr%C3%A9_F._Cournand	André F. Cournand	Paris	Great Barrington ,  Berkshire County, Massachusetts	André F. Cournand ,  France , Physiology or Medicine, 1956	1956	61
	Physiology or Medicine	United States	1895-10-30	1973-02-23	male	http://en.wikipedia.org/wiki/Dickinson_W._Richards	Dickinson W. Richards	Orange, New Jersey	Lakeville, Connecticut	Dickinson W. Richards , Physiology or Medicine, 1956	1956	61
	Physics	United States	1902-02-10	1987-10-13	male	http://en.wikipedia.org/wiki/Walter_H._Brattain	Walter H. Brattain	Amoy, China	Seattle, Washington ,  USA	Walter H. Brattain , Physics, 1956	1956	54
	Physics	United States	1908-05-23	1991-01-30	male	http://en.wikipedia.org/wiki/John_Bardeen	John Bardeen	Madison, Wisconsin , U.S.	Boston, Massachusetts , U.S.	John Bardeen , Physics, 1956	1956	48
	Physics	United States	1910-02-13	1989-08-12	male	http://en.wikipedia.org/wiki/William_B._Shockley	William B. Shockley	London, England	Stanford, California	William B. Shockley , Physics, 1956	1956	46
	Physics	United States	1926-11-24		male	http://en.wikipedia.org/wiki/Tsung-Dao_Lee	Tsung-Dao Lee	Shanghai ,  China		Tsung-Dao Lee ,  born in China , Physics, 1957	1957	31
	Physics	United States	1922-09-22		male	http://en.wikipedia.org/wiki/Chen_Ning_Yang	Chen Ning Yang	Hefei ,  Anhui ,  China		Chen Ning Yang ,  born in China , Physics, 1957	1957	35
	Physiology or Medicine	United States	1909-12-14	1975-11-05	male	http://en.wikipedia.org/wiki/Edward_Lawrie_Tatum	Edward Tatum	Boulder, Colorado	New York City	Edward Tatum , Physiology or Medicine, 1958	1958	49
	Physiology or Medicine	United States	1925-05-23	2008-02-02	male	http://en.wikipedia.org/wiki/Joshua_Lederberg	Joshua Lederberg	Montclair, New Jersey , USA	NewYork-Presbyterian Hospital , New York City, USA	Joshua Lederberg , Physiology or Medicine, 1958	1958	33
	Physiology or Medicine	United States	1903-10-22	1989-06-09	male	http://en.wikipedia.org/wiki/George_Wells_Beadle	George Beadle	Wahoo, Nebraska ,  USA	Chicago, Illinois ,  USA	George Beadle , Physiology or Medicine, 1958	1958	55
Spain	Physiology or Medicine	United States	1905-09-24	1993-11-01	male	http://en.wikipedia.org/wiki/Severo_Ochoa	Severo Ochoa	Luarca ,  Asturias ,  Spain	Madrid ,  Spain	Severo Ochoa ,  born in Spain , Physiology or Medicine, 1959	1959	54
	Physiology or Medicine	United States	1918-03-03	2007-10-26	male	http://en.wikipedia.org/wiki/Arthur_Kornberg	Arthur Kornberg	New York City ,  United States	Stanford ,  United States	Arthur Kornberg , Physiology or Medicine, 1959	1959	41
	Physics	United States	1905-01-30	1989-04-22	male	http://en.wikipedia.org/wiki/Emilio_Segr%C3%A8	Emilio Segrè	Tivoli ,  Italy	Lafayette, California ,  United States of America	Emilio Segrè ,  born in Italy , Physics, 1959	1959	54
	Physics	United States	1920-07-10	2006-02-28	male	http://en.wikipedia.org/wiki/Owen_Chamberlain	Owen Chamberlain	San Francisco, California ,  USA	Berkeley, California ,  USA	Owen Chamberlain , Physics, 1959	1959	39
	Physics	United States	1926-09-21	2013-02-28	male	http://en.wikipedia.org/wiki/Donald_A._Glaser	Donald A. Glaser	Cleveland, Ohio ,  U.S.	Berkeley, California , U.S.	Donald A. Glaser , Physics, 1960	1960	34
	Chemistry	United States	1908-12-17	1980-09-08	male	http://en.wikipedia.org/wiki/Willard_F._Libby	Willard F. Libby	Grand Valley, Colorado	Los Angeles	Willard F. Libby , Chemistry, 1960	1960	52
	Physiology or Medicine	United States	1899-06-03	1972-06-13	male	http://en.wikipedia.org/wiki/Georg_von_B%C3%A9k%C3%A9sy	Georg von Békésy	Budapest ,  Hungary	Honolulu ,  Hawaii ,  United States	Georg von Békésy ,  born in Hungary , Physiology or Medicine, 1961	1961	62
	Physics	United States	1915-02-05	1990-11-17	male	http://en.wikipedia.org/wiki/Robert_Hofstadter	Robert Hofstadter	New York City, New York	Stanford, California	Robert Hofstadter , Physics, 1961	1961	46
	Chemistry	United States	1911-04-08	1997-01-08	male	http://en.wikipedia.org/wiki/Melvin_Calvin	Melvin Calvin	St. Paul, Minnesota , USA	Berkeley, California , USA	Melvin Calvin , Chemistry, 1961	1961	50
	Physiology or Medicine	United States	1928-04-06		male	http://en.wikipedia.org/wiki/James_D._Watson	James D. Watson	Chicago ,  Illinois ,  United States		James D. Watson , Physiology or Medicine, 1962	1962	34
	Peace	United States	1901-02-28	1994-08-19	male	http://en.wikipedia.org/wiki/Linus_Pauling	Linus C. Pauling	Portland, Oregon	Big Sur, California	Linus C. Pauling , Peace, 1962	1962	61
	Literature	United States	1902-02-27	1968-12-20	male	http://en.wikipedia.org/wiki/John_Steinbeck	John Steinbeck	Salinas Valley, California, USA	New York, New York, USA	John Steinbeck , Literature, 1962	1962	60
Hungary	Physics	United States	1902-11-17	1995-01-01	male	http://en.wikipedia.org/wiki/Eugene_Wigner	Eugene Wigner	Budapest ,  Austria-Hungary	Princeton ,  New Jersey , U.S.	Eugene Wigner ,  born in Hungary , Physics, 1963	1963	61
Germany	Physics	United States	1906-06-28	1972-02-20	female	http://en.wikipedia.org/wiki/Maria_Goeppert-Mayer	Maria Goeppert-Mayer	Kattowitz ,  German Empire	San Diego, California , United States	Maria Goeppert-Mayer ,  born in then Germany, now Poland , Physics, 1963	1963	57
Germany	Physiology or Medicine	United States	1912-01-21	2000-10-15	male	http://en.wikipedia.org/wiki/Konrad_Bloch	Konrad Bloch			Konrad Bloch ,  born in then Germany, now Poland , Physiology or Medicine, 1964	1964	52
	Physics	United States	1915-07-28		male	http://en.wikipedia.org/wiki/Charles_H._Townes	Charles H. Townes	Greenville, South Carolina		Charles H. Townes , Physics, 1964	1964	49
	Peace	United States	1929-01-15	1968-04-04	male	http://en.wikipedia.org/wiki/Martin_Luther_King,_Jr.	Martin Luther King	Atlanta ,  Georgia , United States	Lorraine Motel  in  Memphis , Tennessee, United States	Martin Luther King, Jr. , Peace, 1964	1964	35
	Physics	United States	1918-02-12	1994-07-16	male	http://en.wikipedia.org/wiki/Julian_Schwinger	Julian Schwinger	New York City ,  U.S.	Los Angeles ,  U.S.	Julian Schwinger , Physics, 1965	1965	47
	Physics	United States	1918-05-11	1988-02-15	male	http://en.wikipedia.org/wiki/Richard_P._Feynman	Richard P. Feynman	Queens, New York , USA	Los Angeles, California , USA	Richard P. Feynman , Physics, 1965	1965	47
	Chemistry	United States	1917-04-10	1979-07-08	male	http://en.wikipedia.org/wiki/Robert_B._Woodward	Robert B. Woodward	Boston, Massachusetts	Cambridge, Massachusetts	Robert B. Woodward , Chemistry, 1965	1965	48
	Physiology or Medicine	United States	1879-10-05	1970-02-16	male	http://en.wikipedia.org/wiki/Francis_Peyton_Rous	Francis Peyton Rous	Baltimore, Maryland	New York City	Francis Peyton Rous , Physiology or Medicine, 1966	1966	87
Canada	Physiology or Medicine	United States	1901-09-22	1997-01-12	male	http://en.wikipedia.org/wiki/Charles_B._Huggins	Charles B. Huggins	Halifax,  Nova Scotia	Chicago, Illinois	Charles B. Huggins ,  born in Canada , Physiology or Medicine, 1966	1966	65
	Chemistry	United States	1896-06-07	1986-10-31	male	http://en.wikipedia.org/wiki/Robert_S._Mulliken	Robert S. Mulliken	Newburyport, Massachusetts	Arlington, Virginia	Robert S. Mulliken , Chemistry, 1966	1966	70
Belarus	Economics	United States	1901-04-30	1985-07-08	male	http://en.wikipedia.org/wiki/Simon_Kuznets	Simon Kuznets	Pinsk	Cambridge, Massachusetts	Simon Kuznets ,  born in then Russia, now Belarus , Economics, 1971	1971	70
	Physiology or Medicine	United States	1929-07-01	2014-05-18	male	http://en.wikipedia.org/wiki/Gerald_Edelman	Gerald Edelman	Ozone Park, Queens, New York, USA	La Jolla, California	Gerald Edelman , Physiology or Medicine, 1972	1972	43
	Physics	United States	1931-05-31		male	http://en.wikipedia.org/wiki/Robert_Schrieffer	Robert Schrieffer	Oak Park, Illinois		Robert Schrieffer , Physics, 1972	1972	41
	Physics	United States	1930-02-28		male	http://en.wikipedia.org/wiki/Leon_N._Cooper	Leon N. Cooper	New York City		Leon N. Cooper , Physics, 1972	1972	42
	Physics	United States	1908-05-23	1991-01-30	male	http://en.wikipedia.org/wiki/John_Bardeen	John Bardeen	Madison, Wisconsin , U.S.	Boston, Massachusetts , U.S.	John Bardeen , Physics, 1972	1972	64
	Economics	United States	1921-08-23		male	http://en.wikipedia.org/wiki/Kenneth_J._Arrow	Kenneth J. Arrow	New York City		Kenneth J. Arrow , Economics, 1972	1972	51
	Chemistry	United States	1911-06-25	1980-02-02	male	http://en.wikipedia.org/wiki/William_H._Stein	William H. Stein			William H. Stein , Chemistry, 1972	1972	61
	Chemistry	United States	1913-09-04	1982-08-23	male	http://en.wikipedia.org/wiki/Stanford_Moore	Stanford Moore			Stanford Moore , Chemistry, 1972	1972	59
	Chemistry	United States	1916-03-26	1995-05-14	male	http://en.wikipedia.org/wiki/Christian_Anfinsen	Christian Anfinsen	Monessen, Pennsylvania	Randallstown, Maryland	Christian Anfinsen , Chemistry, 1972	1972	56
Germany	Peace	United States	1923-05-27		male	http://en.wikipedia.org/wiki/Henry_Kissinger	Henry Kissinger	Fürth , Bavaria, Germany		Henry Kissinger ,  born in Germany , Peace, 1973	1973	50
	Economics	United States	1906-08-05	1999-02-05	male	http://en.wikipedia.org/wiki/Wassily_Leontief	Wassily Leontief	Munich	New York City	Wassily Leontief ,  born in Germany , Economics, 1973	1973	67
Romania	Physiology or Medicine	United States	1912-11-19	2008-10-07	male	http://en.wikipedia.org/wiki/George_Emil_Palade	George E. Palade	Iaşi ,  Romania	Del Mar, California	George E. Palade ,  born in Romania , Physiology or Medicine, 1974	1974	62
	Chemistry	United States	1910-06-19	1985-09-09	male	http://en.wikipedia.org/wiki/Paul_J._Flory	Paul J. Flory	Sterling, Illinois , USA	Big Sur, California , USA	Paul J. Flory , Chemistry, 1974	1974	64
	Physiology or Medicine	United States	1934-12-10	1994-02-09	male	http://en.wikipedia.org/wiki/Howard_Martin_Temin	Howard Martin Temin	Philadelphia		Howard Martin Temin , Physiology or Medicine, 1975	1975	41
Italy	Physiology or Medicine	United States	1914-02-22	2012-02-19	male	http://en.wikipedia.org/wiki/Renato_Dulbecco	Renato Dulbecco	Catanzaro	La Jolla ,  California	Renato Dulbecco ,  born in Italy , Physiology or Medicine, 1975	1975	61
	Physiology or Medicine	United States	1938-03-07		male	http://en.wikipedia.org/wiki/David_Baltimore	David Baltimore	New York City, New York , United States		David Baltimore , Physiology or Medicine, 1975	1975	37
	Physics	United States	1917-12-09	1986-05-31	male	http://en.wikipedia.org/wiki/James_Rainwater	James Rainwater	Council ,  Idaho	New York	James Rainwater , Physics, 1975	1975	58
United States	Physics	United States	1926-07-09		male	http://en.wikipedia.org/wiki/Ben_R._Mottelson	Ben R. Mottelson	Chicago, Illinois		Ben R. Mottelson *, Physics, 1975	1975	49
	Economics	United States	1910-08-28	1985-02-26	male	http://en.wikipedia.org/wiki/Tjalling_C._Koopmans	Tjalling C. Koopmans	's-Graveland, Netherlands	New Haven, Connecticut, USA	Tjalling C. Koopmans ,  born in the Netherlands , Economics, 1975	1975	65
	Physiology or Medicine	United States	1923-09-09	2008-12-12	male	http://en.wikipedia.org/wiki/Daniel_Carleton_Gajdusek	Daniel Carleton Gajdusek	Yonkers ,  New York ,  U.S.	Tromsø ,  Norway	Daniel Carleton Gajdusek , Physiology or Medicine, 1976	1976	53
	Physiology or Medicine	United States	1925-07-28	2011-04-05	male	http://en.wikipedia.org/wiki/Baruch_S._Blumberg	Baruch S. Blumberg	Brooklyn, New York	Mountain View ,  California , U.S.	Baruch S. Blumberg , Physiology or Medicine, 1976	1976	51
	Physics	United States	1936-01-27		male	http://en.wikipedia.org/wiki/Samuel_C._C._Ting	Samuel C. C. Ting	Ann Arbor, Michigan		Samuel C. C. Ting , Physics, 1976	1976	40
	Physics	United States	1931-03-22		male	http://en.wikipedia.org/wiki/Burton_Richter	Burton Richter	Brooklyn ,  New York City		Burton Richter , Physics, 1976	1976	45
Canada	Literature	United States	1915-06-10	2005-04-05	male	http://en.wikipedia.org/wiki/Saul_Bellow	Saul Bellow	Lachine, Quebec , Canada	Brookline, Massachusetts , United States	Saul Bellow ,  born in Canada , Literature, 1976	1976	61
	Economics	United States	1912-07-31	2006-11-16	male	http://en.wikipedia.org/wiki/Milton_Friedman	Milton Friedman	Brooklyn, New York City, New York, United States	San Francisco, California, United States	Milton Friedman , Economics, 1976	1976	64
	Chemistry	United States	1919-12-09	2011-04-14	male	http://en.wikipedia.org/wiki/William_Lipscomb	William Lipscomb	Cleveland, Ohio	Cambridge, Massachusetts	William Lipscomb , Chemistry, 1976	1976	57
	Physiology or Medicine	United States	1921-07-19		female	http://en.wikipedia.org/wiki/Rosalyn_Sussman_Yalow	Rosalyn Yalow	New York City, New York , U.S.	The Bronx, New York , U.S.	Rosalyn Yalow , Physiology or Medicine, 1977	1977	56
	Physiology or Medicine	United States	1926-11-30		male	http://en.wikipedia.org/wiki/Andrzej_W._Schally	Andrzej W. Schally	Vilnius ,  Second Polish Republic		Andrzej W. Schally ,  born in then Poland, now Lithuania , Physiology or Medicine, 1977	1977	51
France	Physiology or Medicine	United States	1924-01-11		male	http://en.wikipedia.org/wiki/Roger_Guillemin	Roger Guillemin	Dijon ,  France		Roger Guillemin ,  born in France , Physiology or Medicine, 1977	1977	53
	Physics	United States	1899-03-13	1980-10-27	male	http://en.wikipedia.org/wiki/John_H._van_Vleck	John H. van Vleck	Middletown, Connecticut	Cambridge, Massachusetts	John H. van Vleck , Physics, 1977	1977	78
	Physics	United States	1923-12-13		male	http://en.wikipedia.org/wiki/Philip_Warren_Anderson	Philip Anderson	Indianapolis, Indiana ,  USA		Philip Anderson , Physics, 1977	1977	54
	Physiology or Medicine	United States	1928-10-30	1999-11-16	male	http://en.wikipedia.org/wiki/Daniel_Nathans	Daniel Nathans	Wilmington ,  Delaware	Baltimore ,  Maryland	Daniel Nathans , Physiology or Medicine, 1978	1978	50
	Physiology or Medicine	United States	1931-08-23		male	http://en.wikipedia.org/wiki/Hamilton_O._Smith	Hamilton O. Smith			Hamilton O. Smith , Physiology or Medicine, 1978	1978	47
Germany	Physics	United States	1933-04-26		male	http://en.wikipedia.org/wiki/Arno_Penzias	Arno Penzias	Munich ,  Germany		Arno Penzias ,  born in Germany , Physics, 1978	1978	45
	Physics	United States	1936-01-10		male	http://en.wikipedia.org/wiki/Robert_Woodrow_Wilson	Robert Woodrow Wilson	Houston, Texas ,  USA		Robert Woodrow Wilson , Physics, 1978	1978	42
Poland	Literature	United States	1902-11-21	1991-07-24	male	http://en.wikipedia.org/wiki/Isaac_Bashevis_Singer	Isaac Bashevis Singer	Leoncin, Poland	Miami, Florida, USA	Isaac Bashevis Singer ,  born in then Russian Empire, now Poland , Literature, 1978	1978	76
	Economics	United States	1916-06-15	2001-02-09	male	http://en.wikipedia.org/wiki/Herbert_A._Simon	Herbert A. Simon	Milwaukee ,  Wisconsin	Pittsburgh ,  Pennsylvania ,  USA	Herbert A. Simon , Economics, 1978	1978	62
South Africa	Physiology or Medicine	United States	1924-02-23	1998-05-07	male	http://en.wikipedia.org/wiki/Allan_McLeod_Cormack	Allan M. Cormack	Johannesburg, Gauteng	Massachusetts	Allan M. Cormack ,  born in South Africa , Physiology or Medicine, 1979	1979	55
	Physics	United States	1932-12-05		male	http://en.wikipedia.org/wiki/Sheldon_Glashow	Sheldon Glashow	Brookline ,  MA		Sheldon Glashow , Physics, 1979	1979	47
	Physics	United States	1933-05-03		male	http://en.wikipedia.org/wiki/Steven_Weinberg	Steven Weinberg	New York, U.S.		Steven Weinberg , Physics, 1979	1979	46
	Economics	United States	1902-04-30	1998-02-26	male	http://en.wikipedia.org/wiki/Theodore_Schultz	Theodore Schultz	Arlington, South Dakota	Evanston, Illinois	Theodore Schultz , Economics, 1979	1979	77
	Chemistry	United States	1912-05-22	2004-12-19	male	http://en.wikipedia.org/wiki/Herbert_C._Brown	Herbert C. Brown	London ,  England ,  UK	Lafayette, Indiana ,  USA	Herbert C. Brown , Chemistry, 1979	1979	67
	Physiology or Medicine	United States	1903-12-19	1996-06-06	male	http://en.wikipedia.org/wiki/George_Davis_Snell	George D. Snell	Bradford, Massachusetts	Bar Harbor, Maine	George D. Snell , Physiology or Medicine, 1980	1980	77
	Physiology or Medicine	United States	1920-10-29	2011-08-02	male	http://en.wikipedia.org/wiki/Baruj_Benacerraf	Baruj Benacerraf	Caracas ,  Venezuela	Jamaica Plain, Massachusetts , USA	Baruj Benacerraf ,  born in Venezuela , Physiology or Medicine, 1980	1980	60
	Physics	United States	1923-03-10		male	http://en.wikipedia.org/wiki/Val_Fitch	Val Fitch	Merriman ,  Nebraska		Val Fitch , Physics, 1980	1980	57
	Economics	United States	1921-07-04	2004-12-31	male	http://en.wikipedia.org/wiki/G%C3%A9rard_Debreu	Gérard Debreu	Calais	Paris	Gérard Debreu ,  born in France , Economics, 1983	1983	62
Canada	Chemistry	United States	1915-11-30	2005-11-16	male	http://en.wikipedia.org/wiki/Henry_Taube	Henry Taube	Neudorf ,  Saskatchewan ,  Canada	Palo Alto ,  California	Henry Taube ,  born in Canada , Chemistry, 1983	1983	68
	Chemistry	United States	1921-07-15	2006-05-14	male	http://en.wikipedia.org/wiki/Bruce_Merrifield	Bruce Merrifield	Fort Worth ,  Texas	Cresskill ,  New Jersey	Bruce Merrifield , Chemistry, 1984	1984	63
	Physiology or Medicine	United States	1940-04-18		male	http://en.wikipedia.org/wiki/Joseph_L._Goldstein	Joseph L. Goldstein	Kingstree, South Carolina		Joseph L. Goldstein , Physiology or Medicine, 1985	1985	45
	Physiology or Medicine	United States	1941-04-13		male	http://en.wikipedia.org/wiki/Michael_S._Brown	Michael S. Brown	Brooklyn , New York		Michael S. Brown , Physiology or Medicine, 1985	1985	44
	Economics	United States	1918-06-10	2003-09-25	male	http://en.wikipedia.org/wiki/Franco_Modigliani	Franco Modigliani	Rome	Cambridge, Massachusetts	Franco Modigliani ,  born in Italy , Economics, 1985	1985	67
	Chemistry	United States	1917-02-14	2011-10-23	male	http://en.wikipedia.org/wiki/Herbert_A._Hauptman	Herbert A. Hauptman	New York City ,  New York ,  U.S.A.	Buffalo, New York	Herbert A. Hauptman , Chemistry, 1985	1985	68
	Chemistry	United States	1918-06-18	2013-06-06	male	http://en.wikipedia.org/wiki/Jerome_Karle	Jerome Karle	New York City	Annandale, Virginia	Jerome Karle , Chemistry, 1985	1985	67
	Physiology or Medicine	United States	1909-04-22	2012-12-30	female	http://en.wikipedia.org/wiki/Rita_Levi-Montalcini	Rita Levi-Montalcini	Turin ,  Italy	Rome ,  Italy	Rita Levi-Montalcini ,  born in Italy , Physiology or Medicine, 1986	1986	77
	Physiology or Medicine	United States	1922-11-17		male	http://en.wikipedia.org/wiki/Stanley_Cohen_(doctor)	Stanley Cohen	Brooklyn, New York		Stanley Cohen , Physiology or Medicine, 1986	1986	64
Romania	Peace	United States	1928-09-09		male	http://en.wikipedia.org/wiki/Elie_Wiesel	Elie Wiesel	Sighet ,  Maramureș County ,  Romania		Elie Wiesel ,  born in Romania , Peace, 1986	1986	58
	Economics	United States	1919-10-03	2013-01-09	male	http://en.wikipedia.org/wiki/James_M._Buchanan	James M. Buchanan	Murfreesboro, Tennessee	Blacksburg, Virginia	James M. Buchanan , Economics, 1986	1986	67
	Chemistry	United States	1936-11-19		male	http://en.wikipedia.org/wiki/Yuan_T._Lee	Yuan T. Lee	Hsinchu City ,  Taiwan		Yuan T. Lee ,  born in Taiwan , Chemistry, 1986	1986	50
	Chemistry	United States	1932-06-18		male	http://en.wikipedia.org/wiki/Dudley_R._Herschbach	Dudley R. Herschbach	San Jose, California ,  United States		Dudley R. Herschbach , Chemistry, 1986	1986	54
	Literature	United States	1940-05-24	1996-01-28	male	http://en.wikipedia.org/wiki/Joseph_Brodsky	Joseph Brodsky	Leningrad ,  Russia ,  USSR	New York City, New York ,  USA	Joseph Brodsky ,  born in Russia , Literature, 1987	1987	47
	Economics	United States	1924-08-23		male	http://en.wikipedia.org/wiki/Robert_M._Solow	Robert M. Solow	New York		Robert M. Solow , Economics, 1987	1987	63
	Chemistry	United States	1919-04-22	2001-06-17	male	http://en.wikipedia.org/wiki/Donald_J._Cram	Donald J. Cram	Chester, Vermont	Palm Desert, California	Donald J. Cram , Chemistry, 1987	1987	68
	Chemistry	United States	1904-10-03	1989-10-26	male	http://en.wikipedia.org/wiki/Charles_J._Pedersen	Charles J. Pedersen	Busan ,  Korea	Salem, New Jersey	Charles J. Pedersen ,  born in Korea , Chemistry, 1987	1987	83
	Physiology or Medicine	United States	1905-04-18	1998-02-27	male	http://en.wikipedia.org/wiki/George_H._Hitchings	George H. Hitchings	Hoquiam, Washington		George H. Hitchings , Physiology or Medicine, 1988	1988	83
	Physiology or Medicine	United States	1918-01-23	1999-02-21	female	http://en.wikipedia.org/wiki/Gertrude_B._Elion	Gertrude B. Elion	New York City	North Carolina	Gertrude B. Elion , Physiology or Medicine, 1988	1988	70
Germany	Physics	United States	1921-05-25		male	http://en.wikipedia.org/wiki/Jack_Steinberger	Jack Steinberger	Bad Kissingen		Jack Steinberger ,  born in Germany , Physics, 1988	1988	67
	Physics	United States	1932-11-02	2006-08-28	male	http://en.wikipedia.org/wiki/Melvin_Schwartz	Melvin Schwartz	New York City ,  New York	Twin Falls ,  Idaho	Melvin Schwartz , Physics, 1988	1988	56
	Physics	United States	1922-07-15		male	http://en.wikipedia.org/wiki/Leon_M._Lederman	Leon M. Lederman	New York		Leon M. Lederman , Physics, 1988	1988	66
	Physiology or Medicine	United States	1939-12-18		male	http://en.wikipedia.org/wiki/Harold_E._Varmus	Harold E. Varmus	Oceanside, New York		Harold E. Varmus , Physiology or Medicine, 1989	1989	50
	Physiology or Medicine	United States	1936-02-22		male	http://en.wikipedia.org/wiki/J._Michael_Bishop	J. Michael Bishop			J. Michael Bishop , Physiology or Medicine, 1989	1989	53
	Physics	United States	1915-08-27	2011-11-04	male	http://en.wikipedia.org/wiki/Norman_F._Ramsey	Norman F. Ramsey	Washington, DC	Wayland, Massachusetts	Norman F. Ramsey , Physics, 1989	1989	74
Germany	Physics	United States	1922-09-09		male	http://en.wikipedia.org/wiki/Hans_G._Dehmelt	Hans G. Dehmelt	Görlitz ,  Germany		Hans G. Dehmelt ,  born in Germany , Physics, 1989	1989	67
	Chemistry	United States	1947-12-08		male	http://en.wikipedia.org/wiki/Thomas_R._Cech	Thomas R. Cech	Chicago ,  United States		Thomas R. Cech , Chemistry, 1989	1989	42
	Physiology or Medicine	United States	1920-03-15	2012-10-20	male	http://en.wikipedia.org/wiki/E._Donnall_Thomas	E. Donnall Thomas	Mart, Texas	Seattle, Washington	E. Donnall Thomas , Physiology or Medicine, 1990	1990	70
	Physiology or Medicine	United States	1919-04-01	2012-11-26	male	http://en.wikipedia.org/wiki/Joseph_Murray	Joseph E. Murray	Milford, Massachusetts	Boston, Massachusetts	Joseph E. Murray , Physiology or Medicine, 1990	1990	71
	Physics	United States	1926-12-09	1999-02-15	male	http://en.wikipedia.org/wiki/Henry_W._Kendall	Henry W. Kendall	Boston, Massachusetts	Wakulla Springs State Park ,  Florida	Henry W. Kendall , Physics, 1990	1990	64
	Physics	United States	1930-03-28		male	http://en.wikipedia.org/wiki/Jerome_I._Friedman	Jerome I. Friedman	Chicago, Illinois , U.S.		Jerome I. Friedman , Physics, 1990	1990	60
	Economics	United States	1927-08-24		male	http://en.wikipedia.org/wiki/Harry_M._Markowitz	Harry M. Markowitz	Chicago, Illinois, USA		Harry M. Markowitz , Economics, 1990	1990	63
	Economics	United States	1934-06-16		male	http://en.wikipedia.org/wiki/William_F._Sharpe	William F. Sharpe	Boston, Massachusetts ,  U.S.		William F. Sharpe , Economics, 1990	1990	56
	Economics	United States	1923-05-16	2000-06-03	male	http://en.wikipedia.org/wiki/Merton_H._Miller	Merton H. Miller	Boston ,  Massachusetts	Chicago ,  Illinois	Merton H. Miller , Economics, 1990	1990	67
	Chemistry	United States	1928-07-12		male	http://en.wikipedia.org/wiki/Elias_James_Corey	Elias James Corey	Methuen, Massachusetts , United States		Elias James Corey , Chemistry, 1990	1990	62
	Economics	United States	1910-12-29	2013-09-02	male	http://en.wikipedia.org/wiki/Ronald_Coase	Ronald Coase	Willesden near London	Chicago ,  Illinois ,  United States	Ronald Coase ,  born in the United Kingdom , Economics, 1991	1991	81
	Physiology or Medicine	United States	1918-06-06	2009-12-21	male	http://en.wikipedia.org/wiki/Edwin_G._Krebs	Edwin G. Krebs	Lansing, Iowa	Seattle, Washington	Edwin G. Krebs , Physiology or Medicine, 1992	1992	74
	Physiology or Medicine	United States	1920-04-06		male	http://en.wikipedia.org/wiki/Edmond_H._Fischer	Edmond H. Fischer	Shanghai ,  China		Edmond H. Fischer ,  born in China , Physiology or Medicine, 1992	1992	72
	Economics	United States	1930-12-02	2014-05-03	male	http://en.wikipedia.org/wiki/Gary_S._Becker	Gary S. Becker	Pottsville, Pennsylvania , U.S.	Chicago, Illinois, U.S.	Gary S. Becker , Economics, 1992	1992	62
Canada	Chemistry	United States	1923-07-21		male	http://en.wikipedia.org/wiki/Rudolph_A._Marcus	Rudolph A. Marcus	Montreal ,  Quebec		Rudolph A. Marcus ,  born in Canada , Chemistry, 1992	1992	69
	Physiology or Medicine	United States	1944-06-06		male	http://en.wikipedia.org/wiki/Phillip_Allen_Sharp	Phillip A. Sharp	Falmouth, Kentucky		Phillip A. Sharp , Physiology or Medicine, 1993	1993	49
	Physics	United States	1941-03-29		male	http://en.wikipedia.org/wiki/Joseph_Hooton_Taylor,_Jr.	Joseph H. Taylor Jr.	Philadelphia ,  Pennsylvania , United States		Joseph H. Taylor Jr. , Physics, 1993	1993	52
	Physics	United States	1950-11-28		male	http://en.wikipedia.org/wiki/Russell_A._Hulse	Russell A. Hulse	New York City ,  New York		Russell A. Hulse , Physics, 1993	1993	43
